,num_devices,task_data,local_completion_time,energy_consumed,total_weighted_waste,completion_time
74,100,10,2.111184858637838e-10,8.094055490100276e-06,4.04713330429307e-06,
75,100,5,3.6233451915301834e-10,1.3891515430323713e-05,6.945938882421433e-06,
76,100,10,1.4340799974098242e-09,5.498108338919828e-05,2.7491258734597845e-05,
77,100,35,4.729180649810205e-10,1.81311695400136e-05,9.06582122903929e-06,
78,100,45,5.79142721126493e-10,2.2203708511390176e-05,1.110214382705565e-05,
79,100,30,7.478107842132986e-10,2.867026048786271e-05,1.4335504149323461e-05,
80,100,30,8.027630355758648e-10,3.0777070651902684e-05,1.538893670746913e-05,
81,100,35,8.380408332288219e-10,3.212958343922817e-05,1.6065210740030698e-05,
82,100,30,3.711146463634531e-10,1.4228136056227841e-05,7.114253585437102e-06,
83,100,5,3.56116272753676e-10,1.3653114556987273e-05,6.8267353366300134e-06,
84,100,15,1.1416781688851453e-09,4.377071203871138e-05,2.1885926858440134e-05,
85,100,40,2.740304662570252e-11,1.050603309694777e-06,5.253153563707014e-07,
86,100,35,1.5541656092120394e-09,5.958503647986654e-05,2.9793295322737874e-05,
87,100,25,9.502677277468807e-12,3.643224176871662e-07,1.8216596018222183e-07,
88,100,15,1.9725641823684816e-09,7.56259873906838e-05,3.781397997743308e-05,
89,100,25,7.869474371357807e-10,3.0170717632367577e-05,1.5085752289902357e-05,
90,100,45,8.221507150651455e-10,3.152037341370709e-05,1.576059778221108e-05,
91,100,5,1.2670272779814696e-09,4.8576461949758506e-05,2.4288864488518245e-05,
92,100,25,5.2639555967389465e-11,2.0181439120835363e-06,1.009098275819752e-06,
93,100,30,1.118849051730004e-09,4.2895468261324045e-05,2.1448293555187888e-05,
94,100,5,2.1735467730171874e-10,8.333144356899469e-06,4.166680855788385e-06,
95,100,45,8.023689477036533e-10,3.0761961747096905e-05,1.5381382058022305e-05,
96,100,15,5.397952524731597e-10,2.069516891869649e-05,1.034785435697448e-05,
97,100,25,3.0955911721489433e-10,1.186816332995324e-05,5.934236444535227e-06,
98,100,40,1.0065651823334723e-10,3.859062557632539e-06,1.9295816070753864e-06,
99,100,45,1.2721454483080103e-10,4.877268709063761e-06,2.438697961804296e-06,
100,100,20,1.001572040280767e-09,3.839919388487879e-05,1.9200097728459537e-05,
101,100,30,7.373537688421257e-10,2.8269349774957553e-05,1.4135043564363198e-05,
102,100,5,3.964302440478712e-10,1.519870882054248e-05,7.599552625393264e-06,
103,100,45,1.6654677413565788e-09,6.385224041541219e-05,3.192695294157677e-05,
104,100,10,1.2499366058940847e-10,4.792122397913543e-06,2.3961236957870663e-06,
105,100,25,5.2718347886164945e-11,2.0211647094340426e-06,1.0106087138909644e-06,
106,100,20,2.9072402540740604e-10,1.1146046185037245e-05,5.573168454531326e-06,
107,100,25,5.468440417657588e-10,2.0965411912524767e-05,1.0482979378283266e-05,
108,100,5,2.0288751094731795e-09,7.778488772013431e-05,3.8893458297621893e-05,
109,100,35,1.1903466953408548e-10,4.563661095392097e-06,2.2818900650308155e-06,
110,100,35,4.4221485237600536e-11,1.6954041419126623e-06,8.4772418169895e-07,
111,100,5,7.412806916250415e-10,2.841990376732925e-05,1.4210322524010438e-05,
112,100,40,5.739779262940188e-10,2.20056958371424e-05,1.1003134907534347e-05,
113,100,20,1.0596870736533919e-10,4.062726170661636e-06,2.0314160696845008e-06,
114,100,20,2.1025872515825598e-10,8.0610931901374e-06,4.030651724431279e-06,
115,100,40,4.855434463897513e-10,1.8615213072667017e-05,9.307849308056703e-06,
116,100,35,7.30266216650611e-10,2.799762065331107e-05,1.399917545976386e-05,
