,num_devices,task_data,transmission_rate,completion_time,energy_consumed
5297,150,30,1000,0.18782389322916665,0.12
5298,200,20,500,0.18782389322916665,0.16
5299,200,20,500,0.18782389322916665,0.16
5300,300,20,500,0.18782389322916665,0.16
5301,200,20,500,0.18782389322916665,0.16
5302,300,15,500,0.18782389322916665,0.12
5303,200,15,500,0.18782389322916665,0.12
5304,200,15,500,0.18782389322916665,0.12
5305,200,15,500,0.18782389322916665,0.12
5306,100,45,1500,0.18843424479166665,0.12
5307,200,45,1500,0.18843424479166665,0.12
5308,50,40,1000,0.18843424479166665,0.16
5309,100,40,1000,0.18843424479166665,0.16
5310,100,40,1000,0.18843424479166665,0.16
5311,100,40,1000,0.18843424479166665,0.16
5312,150,40,1000,0.18843424479166665,0.16
5313,300,40,1000,0.18843424479166665,0.16
5314,150,30,1000,0.18843424479166665,0.12
5315,300,30,1000,0.18843424479166665,0.12
5316,100,20,500,0.18843424479166665,0.16
5317,250,20,500,0.18843424479166665,0.16
5318,250,45,1500,0.18904459635416665,0.12
5319,250,45,1500,0.18904459635416665,0.12
5320,250,45,1500,0.18904459635416665,0.12
5321,250,35,1000,0.18904459635416665,0.14
5322,300,35,1000,0.18904459635416665,0.14
5323,300,35,1000,0.18904459635416665,0.14
5324,250,30,1000,0.18904459635416665,0.12
5325,250,30,1000,0.18904459635416665,0.12
5326,200,45,1500,0.18965494791666665,0.12
5327,100,45,1000,0.18965494791666665,0.18
5328,100,45,1000,0.18965494791666665,0.18
5329,150,45,1000,0.18965494791666665,0.18
5330,150,45,1000,0.18965494791666665,0.18
5331,150,40,1000,0.18965494791666665,0.16
5332,150,40,1000,0.18965494791666665,0.16
5333,300,35,1000,0.18965494791666665,0.14
5334,300,30,1000,0.18965494791666665,0.12
5335,250,30,1000,0.18965494791666665,0.12
5336,200,30,1000,0.18965494791666665,0.12
5337,200,20,500,0.18965494791666665,0.16
5338,200,20,500,0.18965494791666665,0.16
5339,300,15,500,0.18965494791666665,0.12
5340,250,15,500,0.18965494791666665,0.12
5341,250,15,500,0.18965494791666665,0.12
5342,250,15,500,0.18965494791666665,0.12
5343,150,45,1000,0.19026529947916665,0.18
5344,150,40,1000,0.19026529947916665,0.16
5345,150,40,1000,0.19026529947916665,0.16
5346,50,40,1000,0.19026529947916665,0.16
5347,150,40,1000,0.19026529947916665,0.16
5348,300,40,1000,0.19026529947916665,0.16
5349,250,20,500,0.19026529947916665,0.16
5350,150,20,500,0.19026529947916665,0.16
5351,250,20,500,0.19026529947916665,0.16
5352,250,20,500,0.19026529947916665,0.16
5353,300,15,500,0.19026529947916665,0.12
5354,150,45,1000,0.19087565104166665,0.18
5355,300,45,1500,0.19087565104166665,0.12
5356,300,40,1000,0.19087565104166665,0.16
5357,200,40,1000,0.19087565104166665,0.16
5358,150,40,1000,0.19087565104166665,0.16
5359,250,40,1000,0.19087565104166665,0.16
5360,50,35,1000,0.19087565104166665,0.14
5361,300,30,1000,0.19087565104166665,0.12
5362,200,20,500,0.19087565104166665,0.16
5363,300,20,500,0.19087565104166665,0.16
5364,300,20,500,0.19087565104166665,0.16
5365,200,20,500,0.19087565104166665,0.16
5366,250,20,500,0.19087565104166665,0.16
5367,150,20,500,0.19087565104166665,0.16
5368,300,20,500,0.19087565104166665,0.16
5369,300,15,500,0.19087565104166665,0.12
5370,300,15,500,0.19087565104166665,0.12
5371,200,45,1000,0.19148600260416665,0.18
5372,200,40,1000,0.19148600260416665,0.16
5373,200,40,1000,0.19148600260416665,0.16
5374,250,40,1000,0.19148600260416665,0.16
5375,300,40,1000,0.19148600260416665,0.16
5376,100,35,1000,0.19148600260416665,0.14
5377,250,30,1000,0.19148600260416665,0.12
5378,150,20,500,0.19148600260416665,0.16
5379,200,20,500,0.19148600260416665,0.16
5380,200,20,500,0.19148600260416665,0.16
5381,300,15,500,0.19148600260416665,0.12
5382,300,15,500,0.19148600260416665,0.12
5383,300,15,500,0.19148600260416665,0.12
5384,300,15,500,0.19148600260416665,0.12
5385,300,15,500,0.19148600260416665,0.12
5386,300,45,1500,0.19209635416666665,0.12
5387,50,45,1000,0.19209635416666665,0.18
5388,100,45,1000,0.19209635416666665,0.18
5389,150,45,1000,0.19209635416666665,0.18
5390,250,45,1500,0.19209635416666665,0.12
5391,150,40,1000,0.19209635416666665,0.16
5392,100,35,1000,0.19209635416666665,0.14
5393,150,35,1000,0.19209635416666665,0.14
5394,200,35,1000,0.19209635416666665,0.14
5395,100,35,1000,0.19209635416666665,0.14
5396,300,20,500,0.19209635416666665,0.16
5397,200,20,500,0.19209635416666665,0.16
5398,200,20,500,0.19209635416666665,0.16
5399,200,20,500,0.19209635416666665,0.16
5400,200,20,500,0.19209635416666665,0.16
5401,200,45,1000,0.19270670572916665,0.18
5402,250,45,1500,0.19270670572916665,0.12
5403,100,40,1000,0.19270670572916665,0.16
5404,250,40,1000,0.19270670572916665,0.16
5405,250,35,1000,0.19270670572916665,0.14
5406,300,20,500,0.19270670572916665,0.16
5407,300,45,1500,0.19331705729166665,0.12
5408,300,45,1500,0.19331705729166665,0.12
5409,200,45,1500,0.19331705729166665,0.12
5410,200,45,1000,0.19331705729166665,0.18
5411,100,35,1000,0.19331705729166665,0.14
5412,150,35,1000,0.19331705729166665,0.14
5413,200,35,1000,0.19331705729166665,0.14
5414,300,30,1000,0.19331705729166665,0.12
5415,300,30,1000,0.19331705729166665,0.12
5416,250,20,500,0.19331705729166665,0.16
5417,250,20,500,0.19331705729166665,0.16
5418,250,20,500,0.19331705729166665,0.16
5419,250,20,500,0.19331705729166665,0.16
5420,300,15,500,0.19331705729166665,0.12
5421,250,45,1500,0.19392740885416665,0.12
5422,200,45,1000,0.19392740885416665,0.18
5423,250,45,1500,0.19392740885416665,0.12
5424,200,35,1000,0.19392740885416665,0.14
5425,300,30,1000,0.19392740885416665,0.12
5426,300,20,500,0.19392740885416665,0.16
5427,250,20,500,0.19392740885416665,0.16
5428,100,20,500,0.19453776041666665,0.16
5429,250,20,500,0.19453776041666665,0.16
5430,200,45,1000,0.19514811197916665,0.18
5431,250,45,1000,0.19514811197916665,0.18
5432,250,45,1000,0.19514811197916665,0.18
5433,250,45,1000,0.19514811197916665,0.18
5434,250,40,1000,0.19514811197916665,0.16
5435,200,40,1000,0.19514811197916665,0.16
5436,200,40,1000,0.19514811197916665,0.16
5437,250,40,1000,0.19514811197916665,0.16
5438,200,40,1000,0.19514811197916665,0.16
5439,250,40,1000,0.19514811197916665,0.16
5440,250,40,1000,0.19514811197916665,0.16
5441,300,35,1000,0.19514811197916665,0.14
5442,300,35,1000,0.19514811197916665,0.14
