,Task Size (Mbit),Number of Devices,Transmission Rate (kb/s),Mean Completion Time (s),Energy Consumption (Joules)
206,45,200,2500,0.06,2.53125e-71
207,5,200,3000,4342825.805467832,0.5
208,10,200,3000,8675817.786752954,1.0
209,15,200,3000,13008244.288349345,1.5
210,20,200,3000,0.02666666666666667,1.125e-71
211,25,200,3000,0.03333333333333333,1.40625e-71
212,30,200,3000,26005179.05480468,3.0
213,35,200,3000,30338386.30721917,3.5
214,40,200,3000,34670966.8917497,4.0
215,45,200,3000,39004269.075579494,4.5
216,5,250,500,0.006666666666666667,2.8125e-72
217,10,250,500,0.013333333333333334,5.625e-72
218,15,250,500,0.02,8.4375e-72
219,20,250,500,17351465.038079105,2.0
220,25,250,500,0.03333333333333333,1.40625e-71
221,30,250,500,26022955.95861318,3.0
222,35,250,500,0.04666666666666667,1.96875e-71
223,40,250,500,34694054.68979673,4.0
224,45,250,500,39028927.1971852,4.5
225,5,250,1000,4345475.999473276,0.5
226,10,250,1000,0.013333333333333334,5.625e-72
227,15,250,1000,0.02,8.4375e-72
228,20,250,1000,17344441.374827024,2.0
229,25,250,1000,21679397.379010372,2.5
230,30,250,1000,26014834.269574396,3.0
231,35,250,1000,30347183.619226776,3.5
232,40,250,1000,34679767.8299502,4.0
233,45,250,1000,39016840.62293532,4.5
234,5,250,1500,0.006666666666666667,2.8125e-72
235,10,250,1500,0.013333333333333334,5.625e-72
236,15,250,1500,13009406.668595761,1.5
237,20,250,1500,0.02666666666666667,1.125e-71
238,25,250,1500,0.03333333333333333,1.40625e-71
239,30,250,1500,0.04,1.6875e-71
240,35,250,1500,0.04666666666666667,1.96875e-71
241,40,250,1500,34676552.37829285,4.0
242,45,250,1500,39009333.29318477,4.5
243,5,250,2000,4344436.697700151,0.5
244,10,250,2000,0.013333333333333334,5.625e-72
245,15,250,2000,13007448.740714554,1.5
246,20,250,2000,17341523.10707739,2.0
247,25,250,2000,21674130.76905258,2.5
248,30,250,2000,0.04,1.6875e-71
249,35,250,2000,0.04666666666666667,1.96875e-71
250,40,250,2000,34674379.07620768,4.0
251,45,250,2000,0.06,2.53125e-71
252,5,250,2500,4341416.330403076,0.5
253,10,250,2500,0.013333333333333334,5.625e-72
254,15,250,2500,0.02,8.4375e-72
255,20,250,2500,17339560.591030225,2.0
256,25,250,2500,0.03333333333333333,1.40625e-71
257,30,250,2500,0.04,1.6875e-71
258,35,250,2500,0.04666666666666667,1.96875e-71
259,40,250,2500,0.05333333333333334,2.25e-71
260,45,250,2500,39006695.834974416,4.5
261,5,250,3000,0.006666666666666667,2.8125e-72
262,10,250,3000,0.013333333333333334,5.625e-72
263,15,250,3000,13010193.89740983,1.5
264,20,250,3000,0.02666666666666667,1.125e-71
265,25,250,3000,0.03333333333333333,1.40625e-71
266,30,250,3000,26008313.279478814,3.0
267,35,250,3000,30338487.34354817,3.5
268,40,250,3000,0.05333333333333334,2.25e-71
269,45,250,3000,0.06,2.53125e-71
270,5,300,500,0.006666666666666667,2.8125e-72
271,10,300,500,0.013333333333333334,5.625e-72
272,15,300,500,13017517.460430134,1.5
273,20,300,500,0.02666666666666667,1.125e-71
274,25,300,500,21689195.952144034,2.5
275,30,300,500,0.04,1.6875e-71
276,35,300,500,30359391.59698142,3.5
277,40,300,500,0.05333333333333334,2.25e-71
278,45,300,500,0.06,2.53125e-71
279,5,300,1000,4341945.2800803855,0.5
280,10,300,1000,8677494.27780703,1.0
281,15,300,1000,13012451.66509585,1.5
282,20,300,1000,17344054.910315983,2.0
283,25,300,1000,21678922.22999841,2.5
284,30,300,1000,0.04,1.6875e-71
285,35,300,1000,30345675.787929155,3.5
286,40,300,1000,0.05333333333333334,2.25e-71
287,45,300,1000,39014628.950223975,4.5
288,5,300,1500,0.006666666666666667,2.8125e-72
289,10,300,1500,8676326.330236252,1.0
290,15,300,1500,0.02,8.4375e-72
291,20,300,1500,0.02666666666666667,1.125e-71
292,25,300,1500,21677929.262970358,2.5
293,30,300,1500,0.04,1.6875e-71
294,35,300,1500,30344874.93830839,3.5
295,40,300,1500,34677742.18929245,4.0
296,45,300,1500,0.06,2.53125e-71
297,5,300,2000,4341202.470905685,0.5
298,10,300,2000,8676688.589794395,1.0
299,15,300,2000,0.02,8.4375e-72
300,20,300,2000,17340639.922114786,2.0
301,25,300,2000,0.03333333333333333,1.40625e-71
302,30,300,2000,26009901.671030942,3.0
303,35,300,2000,0.04666666666666667,1.96875e-71
304,40,300,2000,34674717.84974438,4.0
305,45,300,2000,39008778.06433365,4.5
306,5,300,2500,4342224.478681448,0.5
307,10,300,2500,0.013333333333333334,5.625e-72
308,15,300,2500,0.02,8.4375e-72
309,20,300,2500,17343069.821276214,2.0
310,25,300,2500,0.03333333333333333,1.40625e-71
311,30,300,2500,26008810.018315785,3.0
312,35,300,2500,0.04666666666666667,1.96875e-71
313,40,300,2500,34673776.859977335,4.0
314,45,300,2500,0.06,2.53125e-71
315,5,300,3000,4344645.045367568,0.5
316,10,300,3000,8674203.600789065,1.0
317,15,300,3000,0.02,8.4375e-72
318,20,300,3000,17341112.392149117,2.0
319,25,300,3000,21672442.74338989,2.5
320,30,300,3000,26006603.644074485,3.0
321,35,300,3000,0.04666666666666667,1.96875e-71
322,40,300,3000,34672267.015983626,4.0
323,45,300,3000,0.06,2.53125e-71
